Regionalschluessel;Name;Breitengrad;Laengengrad
010545459103;Pellworm;54.519311;8.647905
010545488005;Alkersum;54.715488;8.499468
010545488015;Borgsum;54.707684;8.459938
010545488025;Dunsum;54.734973;8.421481
010545488083;Midlum;54.733277;8.522187
010545488085;Nebel;54.651264;8.344248
010545488087;Nieblum;54.690681;8.489836
010545488089;Norddorf auf Amrum;54.682446;8.330701
010545488094;Oevenum;54.732782;8.552941
010545488098;Oldsum;54.73469;8.462352
010545488129;Süderende;54.721247;8.439499
010545488143;Utersum;54.71204;8.410903
010545488158;Witsum;54.69835;8.437944
010545488160;Wittdün auf Amrum;54.627929;8.36954
010545488163;Wrixum;54.709903;8.550563
010545488164;Wyk auf Föhr;54.698723;8.563876
010545489001;Achtrup;54.794554;9.051044
010545489009;Aventoft;54.890524;8.802402
010545489016;Bosbüll;54.820497;8.844098
010545489017;Braderup;54.838388;8.901855
010545489018;Bramstedtlund;54.848978;9.088775
010545489022;Dagebüll;54.71324;8.778373
010545489027;Ellhöft;54.89421;8.937673
010545489034;Friedrich-Wilhelm-Lübke-Koog;54.856078;8.627776
010545489048;Holm;54.832333;8.834157
010545489055;Humptrup;54.865978;8.852176
010545489062;Karlum;54.819997;8.986918
010545489065;Klanxbüll;54.865569;8.663444
010545489068;Klixbüll;54.80074;8.894354
010545489073;Ladelund;54.841977;9.040995
010545489076;Leck;54.766696;8.965154
010545489077;Lexgaard;54.834041;8.945796
010545489086;Neukirchen;54.861786;8.752303
010545489088;Niebüll;54.803418;8.803891
010545489109;Risum-Lindholm;54.754744;8.855111
010545489110;Rodenäs;54.892014;8.6784
010545489124;Sprakebüll;54.769263;9.064597
010545489125;Stadum;54.741392;9.044478
010545489126;Stedesand;54.734872;8.894261
010545489131;Süderlügum;54.874356;8.911792
010545489136;Tinningstedt;54.809315;8.937775
010545489142;Uphusum;54.84327;8.830985
010545489154;Westre;54.866942;8.991888
010545489165;Galmsbüll;54.769776;8.751572
010545489166;Emmelsbüll-Horsbüll;54.822965;8.697065
010545489167;Enge-Sande;54.720551;9.004192
010545492007;Arlewatt;54.543985;9.074828
010545492023;Drage;54.351379;9.144063
010545492026;Elisabeth-Sophien-Koog;54.510564;8.88069
010545492032;Fresendelf;54.392327;9.245869
010545492042;Hattstedt;54.522221;9.028577
010545492043;Hattstedtermarsch;54.546678;8.972302
010545492052;Horstedt;54.517631;9.072563
010545492054;Hude;54.390172;9.22093
010545492070;Koldenbüttel;54.392661;9.074184
010545492084;Mildstedt;54.469094;9.112239
010545492091;Nordstrand;54.499146;8.881089
010545492096;Oldersbek;54.442206;9.169605
010545492097;Olderup;54.534112;9.112819
010545492099;Ostenfeld (Husum);54.452818;9.264287
010545492105;Ramstedt;54.403578;9.168317
010545492106;Rantrum;54.455448;9.14297
010545492116;Schwabstedt;54.403886;9.198492
010545492119;Seeth;54.374403;9.168269
010545492120;Simonsberg;54.446358;8.987346
010545492130;Süderhöft;54.379192;9.245986
010545492132;Südermarsch;54.439216;9.074443
010545492141;Uelvesbüll;54.413648;8.938604
010545492156;Winnert;54.430541;9.23113
010545492157;Wisch;54.41452;9.157086
010545492159;Wittbek;54.477554;9.234745
